pasta,cod,descr,qtdCx,venda
1,1,Produto A,12,35
1,2,Produto B,24,65
1,3,Produto C,6,88
1,4,Produto D,48,99
1,5,Produto E,12,105
1,6,Produto F,24,150
1,7,Produto G,6,250
1,8,Produto H,12,42
1,9,Produto I,24,56
1,10,Produto J,48,99
1,11,Produto K,12,88
1,12,Produto L,6,77
1,13,Produto M,24,60
1,14,Produto N,12,320
1,15,Produto O,48,15
1,16,Produto P,12,48
1,17,Produto Q,6,99
1,18,Produto R,24,650
1,19,Produto S,12,72
1,20,Produto T,48,50
2,21,Produto U,12,10
2,22,Produto V,6,8
2,23,Produto W,24,9
2,24,Produto X,12,12
2,25,Produto Y,48,24
2,26,Produto Z,12,36
2,27,Produto AA,6,48
2,28,Produto AB,24,99
2,29,Produto AC,12,50
2,30,Produto AD,48,100
2,31,Produto AE,12,150
2,32,Produto AF,6,111
2,33,Produto AG,24,223
2,34,Produto AH,12,333
2,35,Produto AI,48,665
2,36,Produto AJ,12,540
2,37,Produto AK,6,200
2,38,Produto AL,24,250
2,39,Produto AM,12,35
2,40,Produto AN,48,65
2,41,Produto AO,12,88
2,42,Produto AP,6,99
2,43,Produto AQ,24,105
3,44,Produto AR,12,150
3,45,Produto AS,48,250
3,46,Produto AT,12,42
3,47,Produto AU,6,56
3,48,Produto AV,24,99
3,49,Produto AW,12,88
3,50,Produto AX,48,77
3,51,Produto AY,12,60
3,52,Produto AZ,6,320
3,53,Produto BA,24,15
3,54,Produto BB,12,48
3,55,Produto BC,48,99
3,56,Produto BD,12,650
3,57,Produto BE,6,72
3,58,Produto BF,24,50
3,59,Produto BG,12,10
3,60,Produto BH,48,8
3,61,Produto BI,12,9
3,62,Produto BJ,6,12
3,63,Produto BK,24,24
3,64,Produto BL,12,36
3,65,Produto BM,48,48
3,66,Produto BN,12,99
3,67,Produto BO,6,50
3,68,Produto BP,24,100
3,69,Produto BQ,12,150
3,70,Produto BR,48,111
3,71,Produto BS,12,223
3,72,Produto BT,6,333
3,73,Produto BU,24,665
3,74,Produto BV,12,540
3,75,Produto BW,48,200
3,76,Produto BX,12,250
3,77,Produto BY,6,35
3,78,Produto BZ,24,65
3,79,Produto CA,12,88
3,80,Produto CB,48,99
4,81,Produto CC,12,105
4,82,Produto CD,6,150
4,83,Produto CE,24,250
4,84,Produto CF,12,42
4,85,Produto CG,48,56
4,86,Produto CH,12,99
4,87,Produto CI,6,88
4,88,Produto CJ,24,77
4,89,Produto CK,12,60
4,90,Produto CL,48,320
4,91,Produto CM,12,15
4,92,Produto CN,6,48
4,93,Produto CO,24,99
4,94,Produto CP,12,650
4,95,Produto CQ,48,72
4,96,Produto CR,12,50
4,97,Produto CS,6,10
4,98,Produto CT,24,8
4,99,Produto CU,12,9
4,100,Produto CV,48,12
4,101,Produto A,12,24
4,102,Produto B,24,36
4,103,Produto C,6,48
4,104,Produto D,48,99
4,105,Produto E,12,50
4,106,Produto F,24,100
4,107,Produto G,6,150
4,108,Produto H,12,111
4,109,Produto I,24,223
4,110,Produto J,48,333
4,111,Produto K,12,665
4,112,Produto L,6,540
4,113,Produto M,24,200
4,114,Produto N,12,250
4,115,Produto O,48,35
4,116,Produto P,12,65
4,117,Produto Q,6,88
4,118,Produto R,24,99
1,119,Produto S,12,105
1,120,Produto T,48,150
1,121,Produto U,12,250
1,122,Produto V,6,42
1,123,Produto W,24,56
1,124,Produto X,12,99
1,125,Produto Y,48,88
1,126,Produto Z,12,77
1,127,Produto AA,6,60
1,128,Produto AB,24,320
1,129,Produto AC,12,15
1,130,Produto AD,48,48
1,131,Produto AE,12,99
1,132,Produto AF,6,650
1,133,Produto AG,24,72
1,134,Produto AH,12,50
1,135,Produto AI,48,10
1,136,Produto AJ,12,8
1,137,Produto AK,6,9
1,138,Produto AL,24,12
2,139,Produto AM,12,24
2,140,Produto AN,48,36
2,141,Produto AO,12,48
2,142,Produto AP,6,99
2,143,Produto AQ,24,50
2,144,Produto AR,12,100
2,145,Produto AS,48,150
2,146,Produto AT,12,111
2,147,Produto AU,6,223
2,148,Produto AV,24,333
2,149,Produto AW,12,665
2,150,Produto AX,48,540
2,151,Produto AY,12,200
2,152,Produto AZ,6,250
2,153,Produto BA,24,35
2,154,Produto BB,12,65
2,155,Produto BC,48,88
2,156,Produto BD,12,99
2,157,Produto BE,6,105
2,158,Produto BF,24,150
2,159,Produto BG,12,250
2,160,Produto BH,48,42
2,161,Produto BI,12,56
3,162,Produto BJ,6,99
3,163,Produto BK,24,88
3,164,Produto BL,12,77
3,165,Produto BM,48,60
3,166,Produto BN,12,320
3,167,Produto BO,6,15
3,168,Produto BP,24,48
3,169,Produto BQ,12,99
3,170,Produto BR,48,650
3,171,Produto BS,12,72
3,172,Produto BT,6,50
3,173,Produto BU,24,10
3,174,Produto BV,12,8
3,175,Produto BW,48,9
3,176,Produto BX,12,12
3,177,Produto BY,6,24
3,178,Produto BZ,24,36
3,179,Produto CA,12,48
3,180,Produto CB,48,99
3,181,Produto CC,12,50
3,182,Produto CD,6,100
3,183,Produto CE,24,150
3,184,Produto CF,12,111
3,185,Produto CG,48,223
3,186,Produto CH,12,333
3,187,Produto CI,6,665
3,188,Produto CJ,24,540
3,189,Produto CK,12,200
3,190,Produto CL,48,250
3,191,Produto CM,12,35
3,192,Produto CN,6,65
3,193,Produto CO,24,88
3,194,Produto CP,12,99
3,195,Produto CQ,48,105
3,196,Produto CR,12,150
3,197,Produto CS,6,250
3,198,Produto CT,24,42
4,199,Produto CU,12,56
4,200,Produto CV,48,99
4,201,Produto CH,12,88
4,202,Produto CI,6,77
4,203,Produto CJ,24,60
4,204,Produto CK,12,320
4,205,Produto CL,48,15
4,206,Produto CM,12,48
4,207,Produto CN,6,99
4,208,Produto CO,24,650
4,209,Produto CP,12,72
4,210,Produto CQ,48,50
4,211,Produto CR,12,10
4,212,Produto CS,6,8
4,213,Produto CT,24,9
4,214,Produto CU,12,12
4,215,Produto CV,48,24
4,216,Produto AH,12,36
4,217,Produto AI,48,48
4,218,Produto AJ,12,99
4,219,Produto AK,6,50
4,220,Produto AL,24,100
4,221,Produto AM,12,150
4,222,Produto AN,48,111
4,223,Produto AO,12,223
4,224,Produto AP,6,333
4,225,Produto AQ,24,665
4,226,Produto AR,12,540
4,227,Produto AS,48,200
4,228,Produto AT,12,250
4,229,Produto AU,6,35
4,230,Produto AV,24,65
4,231,Produto AW,12,88
4,232,Produto AX,48,99
4,233,Produto AY,12,105
4,234,Produto AZ,6,150
4,235,Produto BA,24,250
4,236,Produto BB,12,42
1,237,Produto BC,48,56
1,238,Produto A,12,99
1,239,Produto B,24,88
1,240,Produto C,6,77
1,241,Produto D,48,60
1,242,Produto E,12,320
1,243,Produto F,24,15
1,244,Produto G,6,48
1,245,Produto H,12,99
1,246,Produto I,24,650
1,247,Produto J,48,72
1,248,Produto K,12,50
1,249,Produto L,6,10
1,250,Produto M,24,8
1,251,Produto N,12,9
1,252,Produto O,48,12
1,253,Produto P,12,24
1,254,Produto Q,6,36
1,255,Produto R,24,48
1,256,Produto S,12,99
2,257,Produto T,48,50
2,258,Produto U,12,100
2,259,Produto V,6,150
2,260,Produto W,24,111
2,261,Produto X,12,223
2,262,Produto Y,48,333
2,263,Produto Z,12,665
2,264,Produto AA,6,540
2,265,Produto AB,24,200
2,266,Produto AC,12,250
2,267,Produto AD,48,35
2,268,Produto AE,12,65
2,269,Produto AF,6,88
2,270,Produto AG,24,99
2,271,Produto AH,12,105
2,272,Produto AI,48,150
2,273,Produto AJ,12,250
2,274,Produto AK,6,42
2,275,Produto AL,24,56
2,276,Produto AM,12,99
2,277,Produto AN,48,88
2,278,Produto AO,12,77
2,279,Produto AP,6,60
3,280,Produto AQ,24,320
3,281,Produto AR,12,15
3,282,Produto AS,48,48
3,283,Produto AT,12,99
3,284,Produto AU,6,650
3,285,Produto AV,24,72
3,286,Produto AW,12,50
3,287,Produto AX,48,10
3,288,Produto AY,12,8
3,289,Produto AZ,6,9
3,290,Produto BA,24,12
3,291,Produto BB,12,24
3,292,Produto BC,48,36
3,293,Produto BD,12,48
3,294,Produto BE,6,99
3,295,Produto BF,24,50
3,296,Produto BG,12,100
3,297,Produto BH,48,150
3,298,Produto BI,12,111
3,299,Produto BJ,6,223
3,300,Produto BK,24,333
3,301,Produto BL,12,665
3,302,Produto BM,48,540
3,303,Produto BN,12,200
3,304,Produto BO,6,250
3,305,Produto BP,24,35
3,306,Produto BQ,12,65
3,307,Produto BR,48,88
3,308,Produto BS,12,99
3,309,Produto BT,6,105
3,310,Produto BU,24,150
3,311,Produto BV,12,250
3,312,Produto BW,48,42
3,313,Produto BX,12,56
3,314,Produto BY,6,99
3,315,Produto BZ,24,88
3,316,Produto CA,12,77
4,317,Produto CB,48,60
4,318,Produto CC,12,320
4,319,Produto CD,6,15
4,320,Produto CE,24,48
4,321,Produto CF,12,99
4,322,Produto CG,48,650
4,323,Produto CH,12,72
4,324,Produto CI,6,50
4,325,Produto CJ,24,10
4,326,Produto CK,12,8
4,327,Produto CL,48,9
4,328,Produto CM,12,12
4,329,Produto CN,6,24
4,330,Produto CO,24,36
4,331,Produto CP,12,48
4,332,Produto CQ,48,99
4,333,Produto CR,12,50
4,334,Produto CS,6,100
4,335,Produto CT,24,150
4,336,Produto CU,12,111
4,337,Produto CV,48,223
4,338,Produto A,12,333
4,339,Produto B,24,665
4,340,Produto C,6,540
4,341,Produto D,48,200
4,342,Produto E,12,250
4,343,Produto F,24,35
4,344,Produto G,6,65
4,345,Produto H,12,88
4,346,Produto I,24,99
4,347,Produto J,48,105
4,348,Produto K,12,150
4,349,Produto L,6,250
4,350,Produto M,24,42
4,351,Produto N,12,56
4,352,Produto O,48,99
4,353,Produto P,12,88
4,354,Produto Q,6,77
1,355,Produto R,24,60
1,356,Produto S,12,320
1,357,Produto T,48,15
1,358,Produto U,12,48
1,359,Produto V,6,99
1,360,Produto W,24,650
1,361,Produto X,12,72
1,362,Produto Y,48,50
1,363,Produto Z,12,10
1,364,Produto AA,6,8
1,365,Produto AB,24,9
1,366,Produto AC,12,12
1,367,Produto AD,48,24
1,368,Produto AE,12,36
1,369,Produto AF,6,48
1,370,Produto AG,24,99
1,371,Produto AH,12,50
1,372,Produto AI,48,100
1,373,Produto AJ,12,150
1,374,Produto AK,6,111
2,375,Produto AL,24,223
2,376,Produto AM,12,333
2,377,Produto AN,48,665
2,378,Produto AO,12,540
2,379,Produto AP,6,200
2,380,Produto AQ,24,250
2,381,Produto AR,12,35
2,382,Produto AS,48,65
2,383,Produto AT,12,88
2,384,Produto AU,6,99
2,385,Produto AV,24,105
2,386,Produto AW,12,150
2,387,Produto AX,48,250
2,388,Produto AY,12,42
2,389,Produto AZ,6,56
2,390,Produto BA,24,99
2,391,Produto BB,12,88
2,392,Produto BC,48,77
2,393,Produto BD,12,60
2,394,Produto BE,6,320
2,395,Produto BF,24,15
2,396,Produto BG,12,48
2,397,Produto BH,48,99
3,398,Produto BI,12,650
3,399,Produto BJ,6,72
3,400,Produto BK,24,50
3,401,Produto BL,12,10
3,402,Produto BM,48,8
3,403,Produto BN,12,9
3,404,Produto BO,6,12
3,405,Produto BP,24,24
3,406,Produto BQ,12,36
3,407,Produto BR,48,48
3,408,Produto BS,12,99
3,409,Produto BT,6,50
